"folder","title","params_doi","zenodo_doi","check","published"
"speechprocessing","Speech Processing in R: Transcription and Analysis with Whisper","10.5281/zenodo.19424882","10.5281/zenodo.19424882","MATCH (published)",TRUE
"spellcheck","Spell checking text data with R","10.5281/zenodo.19332967","10.5281/zenodo.19332967","MATCH (published)",TRUE
"string","String Processing in R","10.5281/zenodo.19332969","10.5281/zenodo.19332969","MATCH (published)",TRUE
"structural_equations","Structural Equation Modelling in R","10.5281/zenodo.19332953","10.5281/zenodo.19332953","MATCH (published)",TRUE
"surveys","Visualising and Analysing Survey and Questionnaire Data with R","10.5281/zenodo.19332971","10.5281/zenodo.19332971","MATCH (published)",TRUE
"table","Handling Tables in R","10.5281/zenodo.19424884","10.5281/zenodo.19424884","MATCH (published)",TRUE
"text_analysis_intro","Introduction to Text Analysis: Concepts and Foundations","10.5281/zenodo.19424886","10.5281/zenodo.19424886","MATCH (published)",TRUE
"text_summarisation","Automated Text Summarisation with R","10.5281/zenodo.19332985","10.5281/zenodo.19332985","MATCH (published)",TRUE
"textanalysis","Introduction to Text Analysis: Practical Implementation in R","10.5281/zenodo.19332977","10.5281/zenodo.19332977","MATCH (published)",TRUE
"topic","Topic Modelling with R","10.5281/zenodo.19332979","10.5281/zenodo.19332979","MATCH (published)",TRUE
"topic_modelling_dickens","Topic Modelling of Charles Dickens' Novels","10.5281/zenodo.19424888","10.5281/zenodo.19424888","MATCH (published)",TRUE
"tree_models","Tree-Based Models in R","10.5281/zenodo.19424890","10.5281/zenodo.19424890","MATCH (published)",TRUE
"vowelchart","Creating Vowel Charts in R","10.5281/zenodo.19332987","10.5281/zenodo.19332987","MATCH (published)",TRUE
"webscraping","Web Scraping with R","10.5281/zenodo.19424892","10.5281/zenodo.19424892","MATCH (published)",TRUE
"why_r","Why R?","10.5281/zenodo.19332991","10.5281/zenodo.19332991","MATCH (published)",TRUE
"working_with_computers","Working with Computers: Essential Skills for Researchers","10.5281/zenodo.19332995","10.5281/zenodo.19332995","MATCH (published)",TRUE
"workingwithr","Working with R: Control Flow, Functions, and Programming","10.5281/zenodo.19332999","10.5281/zenodo.19332999","MATCH (published)",TRUE
